Values, R:100000C:6e-05E:12
Time,Vc
0.1268, 0.250939
0.127, 0.251331
0.1272, 0.251722
0.1274, 0.252114
0.1276, 0.252506
0.1278, 0.252897
0.128, 0.253289
0.1282, 0.25368
0.1284, 0.254072
0.1286, 0.254463
0.1288, 0.254855
0.129, 0.255246
0.1292, 0.255638
0.1294, 0.256029
0.1296, 0.256421
0.1298, 0.256812
0.13, 0.257204
0.1302, 0.257595
0.1304, 0.257986
0.1306, 0.258378
0.1308, 0.258769
0.131, 0.259161
0.1312, 0.259552
0.1314, 0.259943
0.1316, 0.260335
0.1318, 0.260726
0.132, 0.261117
0.1322, 0.261508
0.1324, 0.2619
0.1326, 0.262291
0.1328, 0.262682
0.133, 0.263073
0.1332, 0.263465
0.1334, 0.263856
0.1336, 0.264247
0.1338, 0.264638
0.134, 0.265029
0.1342, 0.265421
0.1344, 0.265812
0.1346, 0.266203
0.1348, 0.266594
0.135, 0.266985
0.1352, 0.267376
0.1354, 0.267767
0.1356, 0.268158
0.1358, 0.268549
0.136, 0.26894
0.1362, 0.269332
0.1364, 0.269723
0.1366, 0.270114
0.1368, 0.270505
0.137, 0.270896
0.1372, 0.271286
0.1374, 0.271677
0.1376, 0.272068
0.1378, 0.272459
0.138, 0.27285
0.1382, 0.273241
0.1384, 0.273632
0.1386, 0.274023
0.1388, 0.274414
0.139, 0.274805
0.1392, 0.275195
0.1394, 0.275586
0.1396, 0.275977
0.1398, 0.276368
0.14, 0.276759
0.1402, 0.277149
0.1404, 0.27754
0.1406, 0.277931
0.1408, 0.278322
0.141, 0.278712
0.1412, 0.279103
0.1414, 0.279494
0.1416, 0.279884
0.1418, 0.280275
0.142, 0.280666
0.1422, 0.281056
0.1424, 0.281447
0.1426, 0.281838
0.1428, 0.282228
0.143, 0.282619
0.1432, 0.283009
0.1434, 0.2834
0.1436, 0.28379
0.1438, 0.284181
0.144, 0.284571
0.1442, 0.284962
0.1444, 0.285352
0.1446, 0.285743
0.1448, 0.286133
0.145, 0.286524
0.1452, 0.286914
0.1454, 0.287305
0.1456, 0.287695
0.1458, 0.288086
0.146, 0.288476
0.1462, 0.288866
0.1464, 0.289257
0.1466, 0.289647
0.1468, 0.290037
0.147, 0.290428
0.1472, 0.290818
0.1474, 0.291208
0.1476, 0.291599
0.1478, 0.291989
0.148, 0.292379
0.1482, 0.292769
0.1484, 0.29316
0.1486, 0.29355
0.1488, 0.29394
0.149, 0.29433
0.1492, 0.29472
0.1494, 0.295111
0.1496, 0.295501
0.1498, 0.295891
0.15, 0.296281
0.1502, 0.296671
0.1504, 0.297061
0.1506, 0.297451
0.1508, 0.297841
0.151, 0.298232
0.1512, 0.298622
0.1514, 0.299012
0.1516, 0.299402
0.1518, 0.299792
0.152, 0.300182
0.1522, 0.300572
0.1524, 0.300962
0.1526, 0.301352
0.1528, 0.301742
0.153, 0.302131
0.1532, 0.302521
0.1534, 0.302911
0.1536, 0.303301
0.1538, 0.303691
0.154, 0.304081
0.1542, 0.304471
0.1544, 0.304861
0.1546, 0.30525
0.1548, 0.30564
0.155, 0.30603
0.1552, 0.30642
0.1554, 0.30681
0.1556, 0.307199
0.1558, 0.307589
0.156, 0.307979
0.1562, 0.308369
0.1564, 0.308758
0.1566, 0.309148
0.1568, 0.309538
0.157, 0.309927
0.1572, 0.310317
0.1574, 0.310707
0.1576, 0.311096
0.1578, 0.311486
0.158, 0.311876
0.1582, 0.312265
0.1584, 0.312655
0.1586, 0.313044
0.1588, 0.313434
0.159, 0.313823
0.1592, 0.314213
0.1594, 0.314603
0.1596, 0.314992
0.1598, 0.315382
0.16, 0.315771
0.1602, 0.31616
0.1604, 0.31655
0.1606, 0.316939
0.1608, 0.317329
0.161, 0.317718
0.1612, 0.318108
0.1614, 0.318497
0.1616, 0.318886
0.1618, 0.319276
0.162, 0.319665
0.1622, 0.320054
0.1624, 0.320444
0.1626, 0.320833
0.1628, 0.321222
0.163, 0.321612
0.1632, 0.322001
0.1634, 0.32239
0.1636, 0.322779
0.1638, 0.323169
0.164, 0.323558
0.1642, 0.323947
0.1644, 0.324336
0.1646, 0.324725
0.1648, 0.325115
0.165, 0.325504
0.1652, 0.325893
0.1654, 0.326282
0.1656, 0.326671
0.1658, 0.32706
0.166, 0.327449
0.1662, 0.327838
0.1664, 0.328228
0.1666, 0.328617
0.1668, 0.329006
0.167, 0.329395
0.1672, 0.329784
0.1674, 0.330173
0.1676, 0.330562
0.1678, 0.330951
0.168, 0.33134
0.1682, 0.331729
0.1684, 0.332117
0.1686, 0.332506
0.1688, 0.332895
0.169, 0.333284
0.1692, 0.333673
0.1694, 0.334062
0.1696, 0.334451
0.1698, 0.33484
0.17, 0.335229
0.1702, 0.335617
0.1704, 0.336006
0.1706, 0.336395
0.1708, 0.336784
0.171, 0.337172
0.1712, 0.337561
0.1714, 0.33795
0.1716, 0.338339
0.1718, 0.338727
0.172, 0.339116
0.1722, 0.339505
0.1724, 0.339893
0.1726, 0.340282
0.1728, 0.340671
0.173, 0.341059
0.1732, 0.341448
0.1734, 0.341837
0.1736, 0.342225
0.1738, 0.342614
0.174, 0.343002
0.1742, 0.343391
0.1744, 0.34378
0.1746, 0.344168
0.1748, 0.344557
0.175, 0.344945
0.1752, 0.345334
0.1754, 0.345722
